trade_id,user_id,platform,currency,instrument,trade_type,entry_price,exit_price,trade_volume,open_time,close_time
TRD0001,U003,SSE,EUR,futures,long,2.04,6.12,14000,15/9/2025 16:44,15/9/2025 17:11
TRD0002,U001,Euronext,CNY,REITS,long,1.04,4.15,12000,25/3/2024 10:38,25/3/2024 15:07
TRD0003,U002,SSE,CNY,mutual,short,3.71,8.02,34000,18/3/2023 23:51,21/3/2023 1:13
TRD0004,U001,Nasdaq,EUR,futures,long,6.52,7.06,35000,14/7/2024 21:57,21/7/2024 2:40
TRD0005,U001,SSE,CNY,mutual,short,9.05,1.63,43000,9/7/2024 10:15,12/7/2024 18:18
TRD0006,U001,Nasdaq,USD,stocks,long,8.28,8.29,6000,16/3/2025 17:37,23/3/2025 6:26
TRD0007,U001,Euronext,EUR,futures,short,9.37,6.8,5000,9/11/2023 2:09,9/11/2023 6:20
TRD0008,U001,Euronext,USD,ETF,long,7.79,9.7,40000,15/12/2023 7:33,15/12/2023 7:44
TRD0009,U002,NYSE,EUR,options,long,1.75,1.11,4000,18/12/2024 8:43,21/12/2024 2:09
TRD0010,U001,LSE,GBP,commodities,short,5.42,5.96,15000,18/5/2023 13:21,23/5/2023 23:30
TRD0011,U003,SSE,EUR,CFD,short,1.72,7.19,10000,26/10/2025 15:13,30/10/2025 7:39
TRD0012,U001,SSE,CNY,mutual,short,1.22,3.73,46000,18/6/2023 21:58,18/6/2023 22:34
TRD0013,U002,Nasdaq,CNY,REITS,long,8,7.74,39000,19/10/2024 15:34,21/10/2024 20:46
TRD0014,U002,Euronext,USD,ETF,short,1.13,2.93,1000,4/7/2024 17:47,11/7/2024 8:26
TRD0015,U001,Euronext,CNY,REITS,short,4.06,6.4,28000,2/10/2025 11:34,3/10/2025 14:27
TRD0016,U004,SSE,CNY,REITS,short,3.84,4.09,4000,19/11/2023 1:59,19/11/2023 13:16
TRD0017,U001,Nasdaq,GBP,forex,short,8.85,8.78,47000,6/2/2025 20:06,7/2/2025 15:15
TRD0018,U005,Nasdaq,USD,ETF,long,4.97,5.67,46000,1/12/2024 18:56,2/12/2024 11:06
TRD0019,U004,NYSE,USD,stocks,short,6.93,4.86,36000,11/10/2025 1:30,11/10/2025 4:39
TRD0020,U003,Euronext,CNY,mutual,long,7.07,1.15,22000,17/10/2025 9:27,17/10/2025 10:44
TRD0021,U002,SSE,GBP,commodities,long,3.25,5.86,17000,12/3/2023 2:23,15/3/2023 14:53
TRD0022,U003,SSE,EUR,futures,long,5.26,5.84,7000,21/6/2024 4:24,27/6/2024 5:03
TRD0023,U002,NYSE,GBP,commodities,short,2.05,1.54,36000,17/4/2023 15:57,17/4/2023 21:33
TRD0024,U004,LSE,GBP,forex,long,7.44,4.9,27000,25/12/2023 17:47,25/12/2023 20:53
TRD0025,U005,Nasdaq,EUR,options,short,4.53,6.4,16000,3/3/2025 5:13,3/3/2025 6:35
TRD0026,U002,Euronext,EUR,options,short,6.74,5.02,43000,22/6/2025 2:26,22/6/2025 3:46
TRD0027,U003,NYSE,USD,stocks,long,8.68,4.26,45000,13/12/2024 1:23,13/12/2024 9:38
TRD0028,U003,SSE,EUR,CFD,long,3.6,8.75,8000,9/5/2025 11:49,9/5/2025 14:38
TRD0029,U005,Nasdaq,EUR,futures,short,3.26,9.44,27000,15/9/2024 16:53,15/9/2024 19:33
TRD0030,U001,LSE,GBP,forex,short,8.13,4.03,42000,7/8/2024 23:30,14/8/2024 4:23
TRD0031,U005,Nasdaq,EUR,futures,long,8.23,8.52,15000,13/12/2024 7:20,20/12/2024 3:58
TRD0032,U002,SSE,GBP,forex,long,3.43,4.65,13000,19/8/2025 20:08,19/8/2025 22:31
TRD0033,U001,Euronext,USD,bonds,long,6.56,4.54,17000,12/8/2025 11:21,12/8/2025 15:43
TRD0034,U003,Euronext,USD,ETF,short,3.52,5.4,38000,14/5/2023 11:50,18/5/2023 12:26
TRD0035,U005,Nasdaq,EUR,futures,short,9.64,8.52,32000,23/7/2025 13:10,23/7/2025 14:33
TRD0036,U003,Nasdaq,EUR,futures,long,2.99,9.31,44000,1/4/2023 20:06,3/4/2023 4:27
TRD0037,U005,SSE,CNY,REITS,short,7.11,6.65,33000,27/8/2025 18:27,28/8/2025 16:28
TRD0038,U005,LSE,USD,bonds,long,1.03,6.85,15000,20/11/2024 11:38,20/11/2024 12:30
TRD0039,U003,NYSE,CNY,REITS,long,9.79,7.1,1000,27/5/2023 1:38,27/5/2023 6:23
TRD0040,U003,SSE,CNY,mutual,short,1.38,5.89,10000,21/6/2023 22:22,21/6/2023 22:35
TRD0041,U002,NYSE,CNY,REITS,short,7.78,2.34,21000,20/3/2023 20:14,20/3/2023 22:05
TRD0042,U001,Nasdaq,USD,bonds,long,8.84,9.69,14000,27/1/2023 6:23,31/1/2023 5:34
TRD0043,U005,NYSE,USD,bonds,long,5.04,3.17,3000,16/6/2025 0:49,16/6/2025 2:26
TRD0044,U003,Euronext,USD,ETF,short,2.83,1.95,25000,5/7/2025 10:02,5/7/2025 13:49
TRD0045,U004,LSE,USD,bonds,long,4.38,3.53,50000,12/1/2023 0:56,14/1/2023 22:32
TRD0046,U001,Nasdaq,EUR,futures,long,9.64,4.76,49000,20/9/2024 15:45,20/9/2024 17:26
TRD0047,U001,SSE,CNY,REITS,long,9.83,3.75,11000,1/10/2023 13:03,1/10/2023 14:53
TRD0048,U001,Nasdaq,EUR,futures,short,9.01,6.37,5000,24/9/2024 22:06,28/9/2024 23:13
TRD0049,U005,SSE,USD,ETF,short,9.53,9.98,3000,8/8/2025 7:08,13/8/2025 1:27
TRD0050,U002,SSE,EUR,futures,short,9.52,6.65,34000,5/7/2025 20:17,11/7/2025 12:34
TRD0051,U004,SSE,GBP,commodities,short,3.41,3.3,8000,9/5/2023 17:11,9/5/2023 20:23
TRD0052,U003,Nasdaq,CNY,REITS,long,4.74,3.72,14000,12/7/2023 16:39,12/7/2023 22:19
TRD0053,U001,Euronext,GBP,forex,short,3.89,10,31000,4/8/2025 9:23,5/8/2025 8:00
TRD0054,U003,Euronext,EUR,CFD,long,6.51,6.05,32000,16/3/2024 7:38,16/3/2024 11:42
TRD0055,U004,Nasdaq,EUR,options,long,5.59,6.68,49000,1/3/2025 8:40,1/3/2025 10:34
TRD0056,U001,NYSE,CNY,REITS,long,4.12,4.63,35000,9/12/2024 2:04,9/12/2024 6:58
TRD0057,U003,LSE,USD,ETF,short,1.97,2.26,31000,19/8/2023 12:56,19/8/2023 14:24
TRD0058,U002,SSE,GBP,forex,short,5.73,7.14,49000,27/7/2024 21:18,28/7/2024 2:27
TRD0059,U005,Euronext,EUR,options,short,9.62,9.47,15000,6/4/2024 6:25,7/4/2024 23:04
TRD0060,U001,Euronext,GBP,commodities,short,2.18,8.1,38000,16/3/2025 15:30,16/3/2025 16:36
TRD0061,U004,LSE,CNY,REITS,short,3.71,4.31,40000,10/11/2024 11:26,10/11/2024 17:00
TRD0062,U001,LSE,USD,stocks,long,1.63,9.07,13000,11/2/2023 18:44,11/2/2023 21:26
TRD0063,U003,Euronext,GBP,commodities,long,6.86,6.36,10000,12/1/2023 15:34,18/1/2023 6:52
TRD0064,U005,SSE,USD,bonds,short,5.08,8.98,24000,24/2/2024 22:25,24/2/2024 23:37
TRD0065,U004,LSE,GBP,forex,short,2.93,7.93,40000,14/3/2024 6:02,14/3/2024 6:31
TRD0066,U001,SSE,GBP,commodities,long,4.3,6.34,22000,12/4/2023 6:47,12/4/2023 12:47
TRD0067,U004,NYSE,USD,bonds,long,8.45,6.8,14000,26/2/2024 12:32,26/2/2024 16:01
TRD0068,U004,SSE,USD,ETF,long,7.44,9.22,40000,27/9/2025 22:18,1/10/2025 20:25
TRD0069,U004,Euronext,CNY,mutual,short,6.7,9.17,35000,10/6/2024 16:37,10/6/2024 22:00
TRD0070,U002,Nasdaq,CNY,mutual,short,3.27,2.76,34000,17/7/2023 6:26,17/7/2023 6:42
TRD0071,U004,LSE,CNY,mutual,short,2.72,8.89,30000,13/6/2024 13:58,13/6/2024 16:28
TRD0072,U003,Nasdaq,CNY,mutual,short,6.64,5.35,22000,2/11/2025 19:54,5/11/2025 18:29
TRD0073,U002,Nasdaq,USD,stocks,short,4.64,2.73,24000,10/6/2024 5:46,15/6/2024 5:47
TRD0074,U003,SSE,GBP,forex,long,3.25,5,39000,1/4/2025 7:49,6/4/2025 11:53
TRD0075,U001,Nasdaq,EUR,futures,long,3.43,8.99,29000,7/1/2025 4:40,9/1/2025 22:50
TRD0076,U002,SSE,GBP,forex,long,2.14,6.29,22000,20/12/2025 7:38,20/12/2025 8:25
TRD0077,U003,Nasdaq,CNY,REITS,long,3.6,9.86,23000,14/7/2024 13:57,15/7/2024 16:46
TRD0078,U003,NYSE,EUR,options,long,8.67,4.16,48000,16/8/2024 19:13,23/8/2024 11:15
TRD0079,U001,SSE,USD,bonds,short,9.87,5.23,47000,6/4/2025 4:27,6/4/2025 7:48
TRD0080,U005,Nasdaq,CNY,mutual,short,3.3,4.25,28000,11/1/2025 3:41,11/1/2025 17:12
TRD0081,U001,Euronext,CNY,REITS,short,5.27,2.71,18000,9/5/2025 20:33,14/5/2025 6:12
TRD0082,U001,SSE,CNY,mutual,short,7.39,6.89,44000,24/9/2024 20:03,24/9/2024 22:17
TRD0083,U001,Nasdaq,USD,bonds,short,8.04,4.79,8000,27/5/2023 11:01,27/5/2023 14:30
TRD0084,U002,LSE,EUR,options,long,4.46,7.19,19000,24/10/2025 5:17,29/10/2025 23:37
TRD0085,U003,Euronext,USD,ETF,short,6.16,5.52,50000,3/12/2025 22:45,10/12/2025 12:16
TRD0086,U001,NYSE,USD,ETF,long,1.28,8.7,23000,14/4/2024 3:22,14/4/2024 10:35
TRD0087,U004,LSE,USD,stocks,short,8.03,5.93,19000,10/9/2024 5:17,11/9/2024 22:30
TRD0088,U003,SSE,GBP,forex,long,2.84,1.45,3000,23/11/2024 7:43,23/11/2024 12:25
TRD0089,U001,NYSE,GBP,commodities,short,6.55,1.43,36000,14/2/2024 8:48,15/2/2024 15:40
TRD0090,U004,Euronext,USD,ETF,short,7.64,2.76,34000,16/3/2024 22:29,18/3/2024 22:02
TRD0091,U001,LSE,GBP,forex,short,8.77,5.46,45000,27/12/2024 18:40,27/12/2024 19:35
TRD0092,U005,Nasdaq,GBP,commodities,short,3.89,8.63,42000,3/5/2023 14:41,3/5/2023 20:06
TRD0093,U001,Nasdaq,USD,stocks,short,2.68,6.5,16000,16/3/2025 17:47,16/3/2025 20:31
TRD0094,U002,Euronext,USD,bonds,long,9.21,8.57,1000,25/11/2024 17:42,25/11/2024 19:06
TRD0095,U001,Nasdaq,CNY,mutual,long,8.12,3.28,17000,1/11/2023 21:43,1/11/2023 23:45
TRD0096,U004,Nasdaq,EUR,futures,long,7.07,8.5,26000,24/2/2023 13:25,25/2/2023 23:16
TRD0097,U003,LSE,CNY,REITS,long,8.31,5.86,15000,2/1/2025 11:59,2/1/2025 14:33
TRD0098,U002,LSE,EUR,CFD,short,3.19,6.38,1000,14/8/2023 5:51,20/8/2023 5:58
TRD0099,U002,Euronext,USD,bonds,long,7.66,9.29,14000,4/8/2023 5:36,8/8/2023 9:35
TRD0100,U005,Nasdaq,USD,ETF,long,2.75,7.54,17000,15/2/2023 1:00,15/2/2023 4:00
TRD0101,U004,LSE,EUR,CFD,long,4.17,1.21,8000,1/5/2024 0:40,1/5/2024 0:47
TRD0102,U004,Nasdaq,CNY,mutual,short,9.53,2.35,18000,26/3/2025 12:58,29/3/2025 16:17
TRD0103,U003,NYSE,USD,ETF,short,2.16,7.13,25000,24/3/2023 11:41,24/3/2023 16:41
TRD0104,U005,Euronext,EUR,options,short,6.98,3.83,39000,12/8/2023 4:06,12/8/2023 21:49
TRD0105,U002,SSE,CNY,REITS,short,4.86,9.22,23000,11/1/2023 6:16,11/1/2023 10:28
TRD0106,U002,NYSE,USD,stocks,short,9.64,6.55,27000,16/4/2023 20:59,22/4/2023 2:06
TRD0107,U005,Nasdaq,EUR,options,long,7.62,1.65,3000,10/9/2024 12:46,10/9/2024 14:59
TRD0108,U004,Euronext,EUR,futures,short,1.25,4.62,12000,15/3/2024 1:46,15/3/2024 3:56
TRD0109,U003,Nasdaq,EUR,futures,long,6.92,6.17,22000,16/1/2025 13:24,17/1/2025 16:40
TRD0110,U001,LSE,CNY,mutual,long,6.41,4.51,2000,12/10/2025 11:27,12/10/2025 13:51
TRD0111,U005,Nasdaq,EUR,futures,long,6.6,1.43,15000,2/1/2025 11:25,2/1/2025 17:23
TRD0112,U002,Euronext,USD,bonds,short,7.69,9.74,50000,2/4/2025 16:42,2/4/2025 19:15
TRD0113,U001,Euronext,GBP,forex,long,2.38,3.53,1000,14/3/2024 8:46,14/3/2024 12:18
TRD0114,U005,Euronext,CNY,REITS,short,8.68,7.17,15000,5/8/2024 12:02,5/8/2024 14:53
TRD0115,U005,LSE,GBP,commodities,long,2.61,7.94,12000,5/12/2023 11:41,5/12/2023 15:58
TRD0116,U003,NYSE,USD,bonds,short,9.23,3.7,47000,13/2/2023 18:15,17/2/2023 6:36
TRD0117,U003,Nasdaq,CNY,mutual,short,7.46,6.39,38000,19/8/2025 13:56,19/8/2025 14:24
TRD0118,U003,Euronext,EUR,options,short,8.74,5.5,16000,23/8/2025 3:06,24/8/2025 6:41
TRD0119,U003,Nasdaq,CNY,REITS,short,6.84,8.64,22000,13/11/2025 6:32,17/11/2025 20:43
TRD0120,U005,NYSE,USD,bonds,long,1.73,5.04,34000,12/10/2025 14:19,16/10/2025 17:28
TRD0121,U005,LSE,USD,ETF,long,7.48,1.34,29000,24/8/2024 11:18,24/8/2024 16:36
TRD0122,U005,Nasdaq,EUR,options,short,5.75,3.62,48000,27/4/2024 10:03,1/5/2024 5:50
TRD0123,U001,SSE,CNY,mutual,long,9.63,8.75,25000,1/8/2023 17:15,1/8/2023 19:49
TRD0124,U001,Euronext,CNY,REITS,long,7.68,3.2,20000,24/5/2024 0:30,30/5/2024 17:16
TRD0125,U005,Nasdaq,CNY,REITS,long,2.55,6.97,41000,10/3/2025 17:23,10/3/2025 19:04
TRD0126,U002,Nasdaq,USD,ETF,short,9.7,8.18,48000,7/5/2025 3:20,7/5/2025 5:07
TRD0127,U005,Euronext,GBP,commodities,short,8.1,1.32,25000,10/1/2023 17:36,11/1/2023 2:30
TRD0128,U004,Euronext,EUR,CFD,short,2.84,10,37000,3/10/2024 3:58,3/10/2024 8:27
TRD0129,U001,LSE,CNY,mutual,short,8.34,4.37,38000,25/8/2024 2:05,25/8/2024 6:56
TRD0130,U004,LSE,EUR,CFD,short,1.81,5.69,2000,20/12/2025 21:42,22/12/2025 1:49
TRD0131,U001,NYSE,EUR,CFD,short,2.79,6.56,12000,13/4/2024 12:19,15/4/2024 6:39
TRD0132,U005,NYSE,CNY,mutual,long,9.74,6.21,36000,20/3/2023 23:33,23/3/2023 9:41
TRD0133,U003,SSE,CNY,REITS,long,1.27,5.89,23000,28/6/2025 22:47,2/7/2025 21:26
TRD0134,U004,Euronext,EUR,futures,short,7.46,7.13,35000,17/3/2024 16:38,17/3/2024 20:04
TRD0135,U004,LSE,USD,ETF,short,4.7,3.26,19000,19/7/2023 19:10,21/7/2023 23:17
TRD0136,U004,Euronext,GBP,forex,long,5.1,8.1,16000,25/5/2023 21:09,1/6/2023 14:33
TRD0137,U002,SSE,GBP,forex,short,1.67,5.48,38000,10/5/2025 15:10,11/5/2025 8:34
TRD0138,U005,Nasdaq,GBP,commodities,short,1.33,2.3,48000,1/3/2023 20:14,1/3/2023 22:05
TRD0139,U003,NYSE,GBP,commodities,long,5.42,1.18,39000,27/6/2024 13:29,27/6/2024 18:44
TRD0140,U001,Euronext,USD,ETF,short,6.61,6.77,50000,9/10/2024 20:28,9/10/2024 23:12
TRD0141,U002,Euronext,CNY,REITS,long,4.41,8.97,36000,3/10/2025 12:37,3/10/2025 13:54
TRD0142,U001,Euronext,GBP,forex,short,6.38,8.64,28000,5/3/2023 5:13,5/3/2023 18:02
TRD0143,U005,Nasdaq,EUR,options,short,3.95,2.18,16000,11/4/2024 15:24,11/4/2024 18:55
TRD0144,U005,NYSE,EUR,CFD,short,8.82,5.7,12000,11/12/2025 17:00,11/12/2025 20:09
TRD0145,U004,NYSE,CNY,mutual,long,2.74,6.88,44000,6/2/2024 11:36,8/2/2024 3:51
TRD0146,U004,SSE,EUR,CFD,short,6,2.03,28000,24/12/2023 4:59,28/12/2023 20:03
TRD0147,U004,Nasdaq,CNY,mutual,short,4.89,7.95,40000,25/4/2024 22:05,25/4/2024 23:37
TRD0148,U004,Nasdaq,GBP,commodities,long,5.74,8.57,42000,8/2/2025 11:03,8/2/2025 15:39
TRD0149,U004,SSE,EUR,futures,short,5.75,3.69,20000,1/6/2024 21:24,1/6/2024 22:55
TRD0150,U002,SSE,USD,bonds,short,3.61,1.56,49000,17/10/2025 12:38,23/10/2025 2:11
TRD0151,U003,Nasdaq,GBP,commodities,short,8.81,7.5,17000,25/4/2025 21:28,25/4/2025 21:41
TRD0152,U003,Euronext,GBP,commodities,short,6.57,3.99,29000,27/6/2025 0:23,27/6/2025 5:35
TRD0153,U004,SSE,CNY,mutual,long,5.62,1.39,31000,20/4/2023 17:59,20/4/2023 18:56
TRD0154,U003,Euronext,CNY,mutual,short,6.79,5.67,20000,19/3/2025 10:45,20/3/2025 3:21
TRD0155,U002,LSE,EUR,CFD,short,3.46,7.19,13000,15/1/2024 16:17,15/1/2024 18:42
TRD0156,U002,SSE,EUR,futures,short,1.49,6.4,4000,16/7/2024 14:19,17/7/2024 12:15
TRD0157,U005,SSE,EUR,options,long,2.31,4.96,32000,18/7/2025 22:30,18/7/2025 23:44
TRD0158,U001,SSE,CNY,REITS,long,8.52,6.3,30000,26/5/2025 13:08,27/5/2025 21:23
TRD0159,U005,SSE,USD,ETF,long,5.74,4.79,45000,5/4/2024 9:14,5/4/2024 14:04
TRD0160,U003,NYSE,CNY,REITS,long,9.38,1.45,21000,8/11/2023 0:00,8/11/2023 3:31
TRD0161,U003,Euronext,EUR,CFD,short,4.2,5.93,35000,21/5/2024 1:13,21/5/2024 1:42
TRD0162,U002,Nasdaq,CNY,mutual,short,5.16,8.61,31000,24/5/2024 7:12,24/5/2024 11:00
TRD0163,U005,NYSE,CNY,mutual,long,5.47,3.34,44000,23/1/2023 9:13,25/1/2023 21:50
TRD0164,U002,NYSE,GBP,forex,long,9.53,2.64,9000,6/5/2024 7:11,6/5/2024 10:51
TRD0165,U004,Nasdaq,CNY,mutual,long,3.94,2.21,4000,9/3/2024 16:38,9/3/2024 19:13
TRD0166,U005,NYSE,GBP,commodities,long,1.73,1.87,47000,13/6/2025 21:44,13/6/2025 23:41
TRD0167,U001,Nasdaq,USD,stocks,short,6.77,2.95,31000,26/9/2024 3:17,26/9/2024 7:35
TRD0168,U004,LSE,EUR,CFD,long,6.4,1.15,2000,25/5/2024 23:53,29/5/2024 5:03
TRD0169,U005,LSE,EUR,CFD,long,3.2,6.44,20000,20/11/2025 12:50,20/11/2025 18:51
TRD0170,U005,Nasdaq,CNY,REITS,long,4.1,7.25,15000,4/4/2025 9:16,6/4/2025 11:12
TRD0171,U004,Euronext,USD,bonds,long,5.85,9.12,19000,17/12/2023 16:05,17/12/2023 20:31
TRD0172,U002,SSE,CNY,REITS,short,6.21,5.82,21000,1/3/2025 12:17,1/3/2025 15:33
TRD0173,U003,Euronext,CNY,mutual,short,5.81,5.6,45000,2/1/2025 11:50,2/1/2025 17:37
TRD0174,U004,Euronext,USD,ETF,long,2.57,2.19,3000,20/10/2025 23:32,27/10/2025 7:58
TRD0175,U005,SSE,GBP,commodities,long,1.79,3.83,31000,19/2/2023 1:22,19/2/2023 2:13
TRD0176,U001,Euronext,EUR,CFD,long,8.21,1.92,10000,14/7/2025 9:55,14/7/2025 15:44
TRD0177,U002,Euronext,GBP,forex,short,8.66,2.92,31000,17/2/2024 0:56,17/2/2024 4:08
TRD0178,U004,Euronext,GBP,commodities,long,3.63,2.3,37000,11/3/2024 11:54,11/3/2024 15:49
TRD0179,U005,Euronext,EUR,CFD,short,4.03,9.38,29000,19/10/2025 7:39,19/10/2025 8:58
TRD0180,U005,SSE,CNY,mutual,short,5.78,5.94,17000,22/6/2023 3:03,22/6/2023 4:51
TRD0181,U001,Nasdaq,GBP,forex,long,7.17,9.21,4000,25/4/2025 11:22,28/4/2025 7:51
TRD0182,U002,SSE,USD,bonds,short,4.49,8.77,48000,28/3/2025 2:20,28/3/2025 3:04
TRD0183,U005,SSE,EUR,CFD,short,8.01,5.27,10000,17/3/2023 15:35,19/3/2023 12:53
TRD0184,U001,LSE,GBP,forex,short,9.97,6.37,33000,3/10/2023 19:24,9/10/2023 0:15
TRD0185,U003,LSE,USD,bonds,short,2.33,7.55,36000,22/7/2023 3:13,22/7/2023 5:04
TRD0186,U004,LSE,GBP,forex,short,3.4,1.02,30000,5/8/2023 8:42,10/8/2023 23:43
TRD0187,U002,Euronext,EUR,futures,short,2.57,5.21,7000,13/9/2023 5:26,13/9/2023 10:14
TRD0188,U001,Nasdaq,CNY,REITS,long,9.31,1.26,8000,22/7/2025 15:53,22/7/2025 20:53
TRD0189,U003,Nasdaq,GBP,commodities,short,5.98,1.05,31000,25/9/2023 0:44,25/9/2023 7:45
TRD0190,U001,Euronext,CNY,mutual,long,4.32,9.02,11000,22/9/2025 21:31,22/9/2025 23:38
TRD0191,U005,Euronext,CNY,REITS,short,4.45,8.87,49000,9/12/2025 8:19,12/12/2025 22:52
TRD0192,U002,NYSE,EUR,futures,short,4.64,5.38,27000,23/10/2024 15:16,23/10/2024 19:45
TRD0193,U001,Nasdaq,GBP,forex,long,5.18,1.9,29000,11/2/2023 10:29,15/2/2023 23:18
TRD0194,U004,SSE,USD,stocks,short,9.16,5.19,22000,19/5/2025 14:11,20/5/2025 14:55
TRD0195,U001,LSE,EUR,options,long,8.66,4.31,38000,16/2/2023 19:25,16/2/2023 22:20
TRD0196,U002,SSE,USD,stocks,short,2.94,4.25,4000,4/10/2025 4:51,10/10/2025 6:04
TRD0197,U003,SSE,GBP,forex,long,7.13,3.69,3000,21/10/2025 3:02,25/10/2025 1:18
TRD0198,U001,SSE,EUR,CFD,long,8.24,2.13,2000,13/8/2023 12:13,13/8/2023 13:35
TRD0199,U004,LSE,USD,bonds,short,8.3,2.25,12000,27/5/2023 9:28,29/5/2023 5:06
TRD0200,U004,Nasdaq,USD,stocks,long,3.43,2.67,39000,9/1/2023 14:32,9/1/2023 17:24
